accuse	(verb) to say that someone has done something moreally wrong, illegal or unkind	
allegedly	(verb) to say that someone has done something illegal or wrong withou giving proof	 
civil	(adj) not military or religious, or relating to the ordinary people of a country	 
convict	(verb) to decide officially in a law court that someone is guilty of a crime	
guilty	(adj) feeling guilt	
offense (us) / offence (uk)	(noun) an illegal act; a crime	
peer	(noun) to look carefully or with difficulty //  a person who is the same age or has the same social position or the same abilities as other people in a group	 
suspect	(verb) to think or believe something to be true or probable	
verdict	(noun) an opinion or decision made after judging the facts that are given, especially one made at the end of a trial	
witness	(noun) a perosn who sees an event happening, especially a crime or an accident	
