adapt 	(verb) to change, or to change something, to suit different conditions or uses
diverse	(adj) including many different types of people or things
evolve	(verb) to develop gradually, or to cause something or someone to develop gradually
feature	(noun) a typical quality or an important part of something
generation	(noun) all the people of about the same age within a society or within a particular family
inherent	(adj) existing as natural or basic part of something
migration	(noun) movement form one region to another and often back again, esp. According to the season of the year
physical	(adj) relating to the body
process	(noun) a series of actions that you take in order to achieve a result
survive	(verb) to continue to live or exist, especially after coming close to dying or being destroyed or after being in a difficult or threatening situation
