affection	(noun) a feeling of linking for a person or place
associate	(verb) to connect someone or something in your mind with someone or something else
bond	(noun) a close connection joining two or more people
clique	(noun) a small group of people who spend their time together and do not welcome other people into that group
confide	(verb) to tel something secret or personal to someone who you trust not to tell anyone else
exclusive	(adj) limited to only one person or group of people // expensive and only for people who are rich or of a high social class
fluctuate	(verb) to change, especially continuously and between one level or thing and another
in common	(adv) as a shared characteristic
solidarity	(noun) agreement between and support for the members of a group, especially political group 
willing	(adj) agreeagble and ready to do something
