Bulk // in bulk // the bulk of sth	(noun, phrasal verb, phrasal verb) something or someone that is very large // in large amounts // most of something
capricious	(adj) changing mood or behaviour suddenly and unexpectedly
cumbersome	(adj) awkward because of being large, heavy, or not effective
exotic	(adj) unusual and exciting because of coming (or seeming to come) from far away, especially a tropical country
inhibit	(verb) to prevent someone from doing something by making them feel nervous or embarrased // to slow down process or the growth of something
minimum	(noun) the smallest amount or number allowed or possible
striking	(adj) very unusual or easily noticed, and therefore attracting a lot of attention
trend	(noun) a general development or change in a situation or in the way that people are behaving
vanity	(noun) the fact that you are too interesed in your appearance or achievments
vulnerable	(adj) able to be easily physically, emotionally, or mentally hurt, influenced, or attacked
