apprehend	(verb) to catch and arrest someone who has not obeyed the law
ascertain	(verb) to discover something // to make certain of something
bureaucratic	(adj) involving long and diffiult dealings with officials
condemn	(verb) to criticize something or someone strongly, usually for moral reasons
evidence	(noun) one or more reasons for believing that something is or is not true
implicate	(verb) to show that someone is involved in a crime or partly responsible for something bad that has happened
inquiry	(noun) (the process of asking) a question
intrusively	(adv) affecting someone in a way that annoys them and makes them feel uncomfortable
seize	(verb) to take using sudden force // to take something quickly and keep or hold it
surveillance	(noun) the careful watching of a person or place, especially by the police or army, because of a crime that has happened or is expected
